metric,Linear,KNN,RandomForest,XGBoost,CatBoost,Transformer
MAE,51.411,31.145,1.864,5.032,3.342,74.208
R2,0.646,0.802,0.996,0.986,0.989,0.227
RMSE,68.132,50.954,7.143,13.754,12.15,100.685
accuracy,0.101,0.312,0.974,0.92,0.963,0.085
accuracy10,0.101,0.312,0.974,0.92,0.963,0.085
accuracy20,0.212,0.538,0.985,0.971,0.98,0.173
accuracy5,0.049,0.163,0.949,0.764,0.899,0.045
