iter	Passed	Remaining
405	6141	8985
406	6155	8969
407	6170	8952
408	6185	8937
409	6199	8921
410	6213	8904
411	6227	8887
412	6241	8870
413	6254	8853
414	6269	8837
415	6284	8823
416	6298	8805
417	6314	8792
418	6327	8773
419	6341	8756
420	6355	8740
421	6369	8724
422	6384	8708
423	6398	8692
424	6413	8677
425	6428	8662
426	6443	8646
427	6458	8631
428	6472	8615
429	6486	8598
430	6501	8582
431	6515	8567
432	6527	8547
433	6541	8531
434	6556	8515
435	6569	8498
436	6584	8482
437	6598	8465
438	6613	8451
439	6627	8434
440	6640	8417
441	6655	8401
442	6670	8386
443	6683	8369
444	6696	8352
445	6711	8336
446	6725	8319
447	6739	8304
448	6755	8290
449	6769	8274
450	6783	8258
451	6798	8242
452	6812	8225
453	6826	8210
454	6840	8194
455	6853	8176
456	6868	8161
457	6881	8143
458	6894	8126
459	6908	8110
460	6922	8093
461	6936	8077
462	6952	8063
463	6966	8047
464	6980	8030
465	6994	8015
466	7009	7999
467	7024	7984
468	7039	7969
469	7054	7954
470	7068	7938
471	7083	7923
472	7096	7906
473	7111	7891
474	7123	7873
475	7138	7858
476	7152	7842
477	7164	7823
478	7180	7810
479	7194	7794
480	7209	7778
481	7224	7763
482	7238	7748
483	7252	7731
484	7266	7715
485	7279	7699
486	7293	7683
487	7308	7667
488	7323	7652
489	7337	7637
490	7352	7621
491	7364	7604
492	7379	7589
493	7393	7573
494	7408	7557
495	7423	7542
496	7436	7526
497	7450	7509
498	7463	7493
499	7479	7479
500	7493	7463
501	7508	7448
502	7521	7432
503	7534	7414
504	7548	7399
505	7562	7383
506	7580	7370
507	7596	7357
508	7611	7342
509	7626	7327
510	7641	7312
511	7657	7298
512	7672	7283
513	7687	7269
514	7700	7251
515	7716	7237
516	7730	7222
517	7743	7205
518	7757	7189
519	7772	7174
520	7786	7158
521	7800	7142
522	7817	7129
523	7830	7112
524	7845	7098
525	7859	7082
526	7874	7067
527	7889	7052
528	7901	7035
529	7915	7019
530	7930	7004
531	7946	6990
532	7960	6974
533	7974	6958
534	7988	6943
535	8004	6929
536	8020	6915
537	8034	6899
538	8048	6884
539	8064	6869
540	8078	6853
541	8092	6837
542	8105	6821
543	8117	6804
544	8131	6788
545	8145	6773
546	8158	6756
547	8173	6741
548	8187	6726
549	8202	6710
550	8218	6696
551	8232	6681
552	8248	6667
553	8262	6652
554	8281	6639
555	8296	6625
556	8311	6610
557	8326	6595
558	8341	6580
559	8356	6565
560	8369	6549
561	8383	6533
562	8397	6518
563	8412	6503
564	8426	6487
565	8441	6472
566	8457	6458
567	8470	6442
568	8483	6426
569	8497	6410
570	8511	6394
571	8525	6379
572	8540	6364
573	8555	6349
574	8569	6334
575	8585	6319
576	8600	6304
577	8615	6290
578	8631	6275
579	8647	6261
580	8660	6245
581	8674	6230
582	8687	6214
583	8701	6198
584	8716	6183
585	8732	6169
586	8746	6153
587	8760	6138
588	8777	6124
589	8793	6111
590	8809	6096
591	8824	6081
592	8840	6067
593	8853	6051
594	8867	6036
595	8883	6021
596	8896	6005
597	8911	5990
598	8924	5974
599	8940	5960
600	8954	5945
601	8970	5930
602	8983	5914
603	8997	5899
604	9012	5884
605	9026	5868
606	9041	5854
607	9056	5839
608	9071	5824
609	9087	5809
610	9101	5794
611	9115	5779
612	9129	5763
613	9143	5748
614	9157	5732
615	9172	5718
616	9187	5702
617	9201	5687
618	9216	5672
619	9229	5656
620	9243	5641
621	9258	5626
622	9272	5611
623	9286	5595
624	9301	5580
625	9316	5566
626	9330	5550
627	9345	5535
628	9358	5519
629	9372	5504
630	9385	5488
631	9400	5473
632	9415	5458
633	9429	5443
634	9443	5428
635	9457	5412
636	9472	5397
637	9487	5383
638	9500	5367
639	9516	5352
640	9530	5337
641	9545	5322
642	9558	5306
643	9571	5291
644	9586	5276
645	9601	5261
646	9616	5246
647	9629	5231
648	9644	5215
649	9658	5200
650	9671	5184
651	9685	5169
652	9700	5154
653	9715	5140
654	9730	5125
655	9745	5110
656	9760	5095
657	9774	5080
658	9789	5065
659	9803	5050
660	9815	5034
661	9830	5019
662	9843	5003
663	9857	4988
664	9872	4973
665	9885	4957
666	9900	4942
667	9915	4928
668	9928	4912
669	9945	4898
670	9959	4883
671	9974	4868
672	9989	4853
673	10004	4838
674	10018	4823
675	10033	4808
676	10049	4794
677	10064	4779
678	10077	4764
679	10090	4748
680	10103	4732
681	10118	4717
682	10131	4702
683	10145	4687
684	10161	4672
685	10175	4657
686	10191	4643
687	10206	4628
688	10221	4613
689	10236	4599
690	10251	4584
691	10266	4569
692	10282	4555
693	10298	4540
694	10312	4525
695	10328	4511
696	10344	4497
697	10360	4482
698	10377	4468
699	10392	4453
700	10405	4438
701	10419	4423
702	10435	4408
703	10450	4393
704	10464	4378
705	10477	4363
706	10493	4348
707	10507	4333
708	10522	4318
709	10536	4303
710	10551	4289
711	10566	4274
712	10583	4260
713	10599	4245
714	10614	4231
715	10628	4215
716	10644	4201
717	10659	4186
718	10673	4171
719	10688	4156
720	10701	4141
721	10715	4125
722	10729	4110
723	10743	4095
724	10759	4081
725	10774	4066
726	10787	4050
727	10801	4035
728	10815	4020
729	10829	4005
730	10843	3990
731	10857	3975
732	10871	3960
733	10886	3945
734	10899	3929
735	10914	3914
736	10928	3899
737	10942	3884
738	10956	3869
739	10971	3854
740	10986	3839
741	11001	3825
742	11017	3810
743	11032	3796
744	11045	3780
745	11060	3765
746	11073	3750
747	11087	3735
748	11101	3720
749	11116	3705
750	11131	3690
751	11147	3676
752	11161	3661
753	11175	3646
754	11189	3630
755	11202	3615
756	11219	3601
757	11232	3586
758	11247	3571
759	11262	3556
760	11276	3541
761	11290	3526
762	11304	3511
763	11317	3496
764	11331	3481
765	11345	3465
766	11359	3450
767	11374	3436
768	11388	3421
769	11403	3406
770	11418	3391
771	11433	3376
772	11449	3362
773	11463	3347
774	11479	3332
775	11493	3317
776	11507	3302
777	11522	3287
778	11536	3272
779	11550	3257
780	11563	3242
781	11579	3228
782	11593	3213
783	11606	3197
784	11619	3182
785	11634	3167
786	11648	3152
787	11663	3137
788	11676	3122
789	11690	3107
790	11702	3092
791	11717	3077
792	11731	3062
793	11746	3047
794	11759	3032
795	11774	3017
796	11789	3002
797	11803	2987
798	11817	2972
799	11830	2957
800	11847	2943
801	11860	2928
802	11875	2913
803	11889	2898
804	11904	2883
805	11918	2868
806	11934	2854
807	11948	2839
808	11961	2823
809	11974	2808
810	11989	2794
811	12003	2779
812	12016	2764
813	12030	2748
814	12045	2734
815	12058	2718
816	12072	2704
817	12088	2689
818	12102	2674
819	12116	2659
820	12130	2644
821	12145	2629
822	12158	2614
823	12173	2600
824	12186	2585
825	12200	2570
826	12214	2555
827	12227	2540
828	12240	2524
829	12254	2510
830	12268	2494
831	12283	2480
832	12298	2465
833	12312	2450
834	12326	2435
835	12340	2420
836	12354	2406
837	12367	2390
838	12381	2375
839	12395	2361
840	12409	2346
841	12424	2331
842	12436	2316
843	12450	2301
844	12464	2286
845	12478	2271
846	12493	2256
847	12510	2242
848	12523	2227
849	12537	2212
850	12552	2197
851	12567	2183
852	12581	2168
853	12595	2153
854	12610	2138
855	12627	2124
856	12641	2109
857	12656	2094
858	12670	2079
859	12685	2065
860	12699	2050
861	12714	2035
862	12728	2020
863	12743	2005
864	12756	1990
865	12770	1976
866	12784	1961
867	12797	1946
868	12811	1931
869	12826	1916
870	12840	1901
871	12854	1886
872	12867	1871
873	12882	1857
874	12896	1842
875	12913	1827
876	12926	1812
877	12941	1798
878	12955	1783
879	12970	1768
880	12986	1754
881	12999	1739
882	13014	1724
883	13028	1709
884	13043	1694
885	13057	1680
886	13072	1665
887	13087	1650
888	13101	1635
889	13115	1621
890	13129	1606
891	13144	1591
892	13159	1576
893	13173	1561
894	13188	1547
895	13201	1532
896	13215	1517
897	13229	1502
898	13244	1487
899	13258	1473
900	13273	1458
901	13288	1443
902	13301	1428
903	13314	1413
904	13328	1399
905	13341	1384
906	13355	1369
907	13367	1354
908	13381	1339
909	13394	1324
910	13408	1309
911	13423	1295
912	13437	1280
913	13451	1265
914	13465	1250
915	13478	1236
916	13492	1221
917	13507	1206
918	13521	1191
919	13533	1176
920	13547	1162
921	13560	1147
922	13573	1132
923	13587	1117
924	13600	1102
925	13615	1088
926	13630	1073
927	13644	1058
928	13657	1043
929	13672	1029
930	13686	1014
931	13700	999
932	13715	984
933	13729	970
934	13742	955
935	13756	940
936	13769	925
937	13784	911
938	13799	896
939	13813	881
940	13828	867
941	13843	852
942	13856	837
943	13869	822
944	13883	808
945	13895	793
946	13909	778
947	13924	763
948	13938	749
949	13952	734
950	13965	719
951	13981	704
952	13995	690
953	14007	675
954	14022	660
955	14036	646
956	14050	631
957	14065	616
958	14080	601
959	14094	587
960	14109	572
961	14122	557
962	14136	543
963	14150	528
964	14164	513
965	14179	499
966	14194	484
967	14208	469
968	14223	455
969	14236	440
970	14251	425
971	14265	410
972	14280	396
973	14294	381
974	14308	366
975	14322	352
976	14337	337
977	14351	322
978	14365	308
979	14380	293
980	14395	278
981	14409	264
982	14425	249
983	14438	234
984	14453	220
985	14467	205
986	14481	190
