iter	RMSE
0	144.5441289
1	138.9516393
2	133.6992327
3	128.5643145
4	123.6619805
5	119.1519248
6	114.7593101
7	110.626808
8	106.6735457
9	102.8606469
10	99.22282597
11	95.9124767
12	92.64129698
13	89.48253557
14	86.50950654
15	83.69370112
16	81.11115933
17	78.54836106
18	76.03578538
19	73.71610639
20	71.37008505
21	69.20596878
22	67.1420751
23	65.17770246
24	63.37340463
25	61.55686634
26	59.87134162
27	58.2427188
28	56.66724429
29	55.21005097
30	53.77760271
31	52.45486042
32	51.14559225
33	49.90959755
34	48.71974516
35	47.53041179
36	46.41137465
37	45.34632089
38	44.42354522
39	43.46408142
40	42.59242258
41	41.69858411
42	40.95464849
43	40.20346631
44	39.45985631
45	38.6738897
46	37.93866257
47	37.27685959
48	36.59410734
49	35.93410863
50	35.37075258
51	34.79527128
52	34.26676147
53	33.65132848
54	33.05651284
55	32.50675897
56	32.00247783
57	31.55972389
58	31.12373472
59	30.72578283
60	30.38992004
61	30.00305309
62	29.5637157
63	29.05365446
64	28.61643084
65	28.22460519
66	27.81121784
67	27.48262806
68	27.12859243
69	26.80309897
70	26.46176377
71	26.16429925
72	25.90381255
73	25.5561796
74	25.23203982
75	24.93226565
76	24.65296258
77	24.4205591
78	24.08969133
79	23.89047828
80	23.58383082
81	23.31857423
82	23.10338592
83	22.86220078
84	22.5903089
85	22.34844763
86	22.1687672
87	21.92502469
88	21.7319152
89	21.48875858
90	21.32644026
91	21.1643129
92	20.96265254
93	20.79878265
94	20.66653367
95	20.44224945
96	20.23913524
97	20.10606411
98	19.97168379
99	19.80531851
100	19.62666896
101	19.4521799
102	19.31815216
103	19.17256185
104	19.04875441
105	18.90741138
106	18.78164877
107	18.60150707
108	18.47588178
109	18.36118597
110	18.23899392
111	18.06788467
112	17.98364233
113	17.89671738
114	17.75404548
115	17.66340813
116	17.55603381
117	17.42566701
118	17.29845841
119	17.19386714
120	17.08743549
121	17.01508605
122	16.91063138
123	16.82636232
124	16.75699065
125	16.62921061
126	16.51048248
127	16.40780192
128	16.3333194
129	16.23893462
130	16.14787622
131	16.08836432
132	16.00976811
133	15.94197969
134	15.86677648
135	15.80204684
136	15.71778519
137	15.65953199
138	15.56975251
139	15.51639234
140	15.45423392
141	15.40673995
142	15.30683431
143	15.25085343
144	15.19053788
145	15.11784339
146	15.04821225
147	15.0009663
148	14.93658199
149	14.90399939
150	14.86129831
151	14.8141807
152	14.76983387
153	14.72277432
154	14.68655572
155	14.61368431
156	14.58029084
157	14.54539935
158	14.48108497
159	14.44684045
160	14.41281245
161	14.36876356
162	14.33090774
163	14.29241261
164	14.26390203
165	14.19770295
166	14.1384555
167	14.09811766
168	14.07318743
169	13.99766044
170	13.95311097
171	13.90676544
172	13.86934651
173	13.84190109
174	13.82353386
175	13.78808594
176	13.73067385
177	13.69824961
178	13.65788557
179	13.62386266
180	13.5956794
181	13.54554106
182	13.51805033
183	13.49296964
184	13.45694557
185	13.43226481
186	13.40894587
187	13.38656408
188	13.37216597
189	13.30745744
190	13.29062342
191	13.23859468
192	13.20533335
193	13.17738894
194	13.14969203
195	13.13389989
196	13.10391144
197	13.07596359
198	13.05282855
199	13.00673937
200	12.98605329
201	12.94883789
202	12.91438122
203	12.88778112
204	12.86862615
205	12.81581256
206	12.79066393
207	12.77811641
208	12.75103126
209	12.72011403
210	12.68701794
211	12.64099419
212	12.60983479
213	12.59141707
214	12.56939294
215	12.55689557
216	12.52123817
217	12.49220348
218	12.46819362
219	12.4381705
220	12.41513446
221	12.39777375
222	12.3819587
223	12.36784628
224	12.35660809
225	12.33076671
226	12.31259222
227	12.303079
228	12.27252372
229	12.23537969
230	12.21465189
231	12.17894677
232	12.15973078
233	12.14220347
234	12.13197548
235	12.11564934
236	12.08784249
237	12.0793492
238	12.06127712
239	12.03563985
240	12.01001885
241	11.98494972
242	11.96434505
243	11.95339616
244	11.93112189
245	11.90074476
246	11.893814
247	11.86624723
248	11.8587574
249	11.838739
250	11.81444429
251	11.79944439
252	11.7781509
253	11.77086499
254	11.74824576
255	11.72658726
256	11.70323425
257	11.68179642
258	11.66347734
259	11.64943044
260	11.63507049
261	11.62042704
262	11.613175
263	11.5839546
264	11.5545743
265	11.53104401
266	11.51298675
267	11.50639303
268	11.49661626
269	11.46625482
270	11.45782214
271	11.4383748
272	11.42119876
273	11.41482925
274	11.40862249
275	11.38800507
276	11.37596017
